,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Palasa,IN,83.03,overcast clouds,18.77,84.42,Malla Krishana apartment
392,Athmallik,IN,80.94,overcast clouds,20.72,84.53,Swadesh motors ..
406,Tanout,NE,84.18,overcast clouds,14.97,8.89,
411,Mayo,US,84.2,overcast clouds,38.89,-76.51,Resorts Resource Group International
413,Dauriya,RU,76.78,overcast clouds,49.93,116.87,
414,Feijo,BR,78.62,broken clouds,-8.16,-70.35,Hotel e Restaurante Aҫai
416,Jasper,US,87.8,clear sky,37.2,-94.35,Guest House Motel
420,Sabzevar,IR,76.62,overcast clouds,36.21,57.68,پارکینگ وسایل سنگین جنوب
425,Nakhon Si Thammarat,TH,80.6,few clouds,8.43,99.97,โรงแรมช่อลดา
428,Gayeri,BF,79.23,broken clouds,12.65,0.49,
432,Banjar,ID,77.0,broken clouds,-8.19,114.97,The Hamsa Resort
438,Sidi Ali,DZ,76.8,overcast clouds,36.1,0.42,
439,Langxiang,CN,81.9,clear sky,46.95,128.88,Pearl Hotel
440,Karpathos,GR,75.2,clear sky,35.51,27.21,Alex
441,Pedernales,DO,86.0,scattered clouds,18.04,-71.74,Hotel Costa Marina
442,Diebougou,BF,76.32,overcast clouds,10.97,-3.25,Hotel Le Consulat
446,Satkhira,BD,82.4,haze,22.72,89.1,kaligonj Mass
447,Progreso,MX,88.0,scattered clouds,21.28,-89.67,Playa Linda Hotel
450,Mitsamiouli,KM,77.22,clear sky,-11.38,43.28,Foyer ADM
456,Salinopolis,BR,79.57,broken clouds,-0.61,-47.36,Hotel Salinópolis
457,Tautira,PF,82.4,broken clouds,-17.73,-149.15,Pension Oaoa
458,Jieshi,CN,85.05,clear sky,22.81,115.83,Yuehai Hotel
462,Morros,BR,75.61,broken clouds,-9.45,-46.3,
463,Aripuana,BR,78.04,scattered clouds,-9.17,-60.63,
467,Kayes,ML,82.4,thunderstorm,14.0,-11.0,
474,Nenjiang,CN,80.73,scattered clouds,49.18,125.22,Nenjiang Apartment
488,Gra Liyia,GR,79.0,clear sky,35.02,25.68,Diktynna Traditional Villas
489,Marsh Harbour,BS,82.65,overcast clouds,26.54,-77.06,Abaco Beach Resort
492,Shieli,KZ,77.41,clear sky,44.17,66.75,Gostinitsa Aybek Shieli
493,Ewa Beach,US,86.0,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
499,Senador Guiomard,BR,75.2,clear sky,-10.15,-67.74,Hotel Rondon
507,Abu Kamal,SY,80.37,clear sky,34.45,40.92,محطة التلفاز
509,Banjarmasin,ID,75.2,overcast clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
511,Chettipalaiyam,IN,75.2,few clouds,10.9,77.07,PVS தில்லையம்மன் லாரி
520,Verkhoyansk,RU,78.69,scattered clouds,67.54,133.38,
521,Labuhan,ID,78.51,overcast clouds,-6.88,112.21,bador sepret
526,Abnub,EG,79.07,clear sky,27.27,31.15,Romany Adly Gad
530,Port Blair,IN,82.69,overcast clouds,11.67,92.75,Hotel Sentinel
533,Ulcinj,ME,75.2,clear sky,41.93,19.22,Hotel Mediteran
548,Lufilufi,WS,78.8,heavy intensity drizzle,-13.87,-171.6,Leuaina Beach Resort and Spa
551,Knoxville,US,84.2,clear sky,35.96,-83.92,Hilton Knoxville
555,Milton,US,80.6,clear sky,34.13,-84.3,SpringHill Suites by Marriott Atlanta Alpharetta
559,Sur,OM,84.96,overcast clouds,22.57,59.53,Sur Plaza Hotel
560,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
562,Culpeper,US,75.2,scattered clouds,38.5,-77.97,Loose Lodge
563,Silanga,PH,84.38,overcast clouds,11.82,124.84,Rosario Hills Mountain View Park Resort
567,Tibiao,PH,83.46,overcast clouds,11.29,122.04,Kasa Raya Inn
569,Petersburg,US,84.2,clear sky,37.23,-77.4,Hilton Garden Inn Richmond South/Southpark
570,Yumen,CN,77.92,overcast clouds,40.28,97.2,
571,Hinche,HT,84.2,scattered clouds,19.15,-72.02,«Petites Soeurs de l'Incarnation»
574,Araguaina,BR,81.27,broken clouds,-7.19,-48.21,Hotel São Vicente
575,Columbus,US,77.0,broken clouds,39.96,-83.0,DoubleTree Suites by Hilton Hotel Columbus Downtown
578,Rio De Jesus,PA,76.14,scattered clouds,7.98,-81.16,Finca El Mono
579,Sinjar,IQ,81.3,scattered clouds,36.32,41.88,زوماني فون 1
