,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
92,Minas,UY,-34.38,-55.24,48.0,65,76,10.29,broken clouds,0.0,0.0
93,Kortkeros,RU,61.81,51.58,57.2,82,4,6.71,clear sky,0.0,0.0
94,Hamilton,US,39.18,-84.53,77.0,69,1,5.82,clear sky,0.0,0.0
95,Port Hawkesbury,CA,45.62,-61.35,69.8,94,75,10.29,broken clouds,0.0,0.0
96,Vanavara,RU,60.34,102.28,66.38,62,38,0.92,scattered clouds,0.0,0.0
97,Sangar,RU,63.92,127.47,75.83,67,28,4.09,scattered clouds,0.0,0.0
98,Pleshanovo,RU,52.83,53.48,71.6,85,83,9.01,broken clouds,0.0,0.0
99,Pineville,US,31.32,-92.43,93.2,63,1,5.82,clear sky,0.0,0.0
100,Phalaborwa,ZA,-23.94,31.14,48.16,63,0,3.56,clear sky,0.0,0.0
101,Comodoro Rivadavia,AR,-45.87,-67.5,41.0,60,4,16.11,clear sky,0.0,0.0
102,Chokurdakh,RU,70.63,147.92,70.3,45,61,9.66,broken clouds,0.0,0.0
103,Kemijarvi,FI,66.71,27.43,46.29,86,72,3.67,broken clouds,0.0,0.0
104,Kouroussa,GN,10.65,-9.88,71.85,93,44,2.44,scattered clouds,0.0,0.0
105,Cururupu,BR,-1.83,-44.87,74.3,89,56,2.62,broken clouds,0.0,0.0
106,Roma,US,43.21,-75.46,73.4,73,1,3.36,clear sky,0.0,0.0
107,Aklavik,CA,68.22,-135.01,59.0,62,90,2.24,shower rain,0.0,0.0
108,La Roche-Sur-Yon,FR,46.67,-1.43,60.8,59,0,11.41,clear sky,0.0,0.0
109,Miram Shah,PK,33.01,70.07,79.77,52,0,2.98,clear sky,0.0,0.0
110,San Cristobal,VE,7.77,-72.22,78.8,78,40,2.24,scattered clouds,0.0,0.0
111,Byron Bay,AU,-28.65,153.62,62.01,63,88,10.29,overcast clouds,0.0,0.0
112,Kavieng,PG,-2.57,150.8,83.73,69,99,4.65,overcast clouds,0.0,0.0
113,Nevers,FR,46.92,3.33,66.2,45,35,9.17,scattered clouds,0.0,0.0
114,Kaitangata,NZ,-46.28,169.85,46.99,64,3,5.99,clear sky,0.0,0.0
115,Vyshkov,RU,52.48,31.69,55.4,93,90,13.42,overcast clouds,0.0,0.0
116,Saint George,US,37.1,-113.58,108.0,12,1,16.11,clear sky,0.0,0.0
117,Manta,EC,-0.95,-80.73,72.48,89,67,12.91,broken clouds,0.0,0.0
118,Galle,LK,6.04,80.22,80.46,84,94,8.86,overcast clouds,0.0,0.0
119,The Valley,AI,18.22,-63.06,84.2,79,40,13.87,scattered clouds,0.0,0.0
120,Dom Pedrito,BR,-30.98,-54.67,46.89,81,29,4.79,scattered clouds,0.0,0.0
121,Soto La Marina,MX,23.77,-98.22,87.01,71,1,8.99,clear sky,0.0,0.0
122,Tuktoyaktuk,CA,69.45,-133.04,57.2,62,75,10.29,broken clouds,0.0,0.0
123,Kloulklubed,PW,7.04,134.26,77.0,94,90,5.82,light intensity shower rain,0.0,0.0
124,Khatanga,RU,71.97,102.5,59.58,66,74,18.61,broken clouds,0.0,0.0
125,Vestmannaeyjar,IS,63.44,-20.27,50.58,92,100,4.29,light rain,0.64,0.0
126,Norman Wells,CA,65.28,-126.83,66.2,63,75,5.82,broken clouds,0.0,0.0
127,Puerto Ayora,EC,-0.74,-90.35,68.0,90,81,1.01,broken clouds,0.0,0.0
128,Griffith,US,41.53,-87.42,73.99,68,75,5.82,broken clouds,0.0,0.0
129,Ferme-Neuve,CA,46.7,-75.45,67.77,76,57,5.66,broken clouds,0.0,0.0
130,Kodiak,US,57.79,-152.41,57.2,62,90,9.17,overcast clouds,0.0,0.0
131,Safaga,EG,26.73,33.94,86.68,36,0,17.38,clear sky,0.0,0.0
132,Olafsvik,IS,64.89,-23.71,50.79,83,58,4.18,broken clouds,0.0,0.0
133,Sarkand,KZ,45.41,79.92,59.5,43,0,5.14,clear sky,0.0,0.0
134,Hithadhoo,MV,-0.6,73.08,84.83,72,71,9.19,broken clouds,0.0,0.0
135,Qaanaaq,GL,77.48,-69.36,45.91,63,82,3.13,broken clouds,0.0,0.0
136,Lompoc,US,34.64,-120.46,73.0,64,0,13.87,clear sky,0.0,0.0
137,Phetchabun,TH,16.25,101.08,75.2,100,20,1.63,few clouds,0.0,0.0
138,Sovetskiy,RU,61.36,63.58,64.47,72,48,7.56,scattered clouds,0.0,0.0
139,Nanortalik,GL,60.14,-45.24,46.6,87,100,3.33,light rain,0.14,0.0
140,Palmer,US,42.16,-72.33,84.2,51,40,10.29,scattered clouds,0.0,0.0
141,Buala,SB,-8.14,159.59,82.99,78,97,14.58,moderate rain,2.22,0.0
142,Ahuimanu,US,21.44,-157.84,84.2,54,90,11.41,overcast clouds,0.0,0.0
143,Luganville,VU,-15.53,167.17,80.6,74,40,8.05,scattered clouds,0.0,0.0
144,Boulsa,BF,12.67,-0.58,79.95,64,97,6.87,light rain,0.5,0.0
145,Turukhansk,RU,65.82,87.98,60.44,75,67,7.29,broken clouds,0.0,0.0
146,Torbay,CA,47.67,-52.73,55.99,93,90,23.04,overcast clouds,0.0,0.0
147,Namtsy,RU,62.72,129.67,82.4,61,10,4.47,clear sky,0.0,0.0
148,Marigot,MF,18.07,-63.08,84.2,79,40,13.87,scattered clouds,0.0,0.0
149,Yerbogachen,RU,61.28,108.01,66.24,66,0,3.91,clear sky,0.0,0.0
150,Nikolskoye,RU,59.7,30.79,51.8,81,59,2.24,fog,0.0,0.0
151,Kieta,PG,-6.22,155.63,79.23,83,100,8.81,moderate rain,2.69,0.0
152,Paamiut,GL,61.99,-49.67,44.55,82,100,9.93,light rain,0.13,0.0
153,Kailua,US,21.4,-157.74,84.2,54,90,11.41,overcast clouds,0.0,0.0
154,Talnakh,RU,69.49,88.4,55.4,71,100,6.71,overcast clouds,0.0,0.0
155,Ruwi,OM,23.6,58.55,86.0,100,20,2.24,few clouds,0.0,0.0
156,Okhotsk,RU,59.38,143.3,68.52,55,32,7.09,scattered clouds,0.0,0.0
157,Guane,CU,22.2,-84.09,79.92,80,97,2.59,overcast clouds,0.0,0.0
158,Longyearbyen,SJ,78.22,15.64,46.4,75,75,2.24,broken clouds,0.0,0.0
159,Ginir,ET,7.13,40.7,57.31,88,2,10.25,clear sky,0.0,0.0
160,Taksimo,RU,56.34,114.88,80.1,47,4,2.26,clear sky,0.0,0.0
161,Jalu,LY,29.03,21.55,75.76,50,0,14.58,clear sky,0.0,0.0
162,Balabac,PH,7.99,117.06,84.11,73,94,7.87,overcast clouds,0.0,0.0
163,Lazareni,RO,46.87,22.07,51.8,87,0,1.12,clear sky,0.0,0.0
164,Luwuk,ID,-0.95,122.79,81.97,71,80,6.08,broken clouds,0.0,0.0
165,Butaritari,KI,3.07,172.79,83.71,75,64,11.88,broken clouds,0.0,0.0
166,Taltal,CL,-25.4,-70.48,55.17,80,25,2.98,scattered clouds,0.0,0.0
167,Jamestown,US,42.1,-79.24,72.0,73,1,6.93,clear sky,0.0,0.0
168,Luderitz,NA,-26.65,15.16,51.8,87,0,5.82,clear sky,0.0,0.0
169,Thinadhoo,MV,0.53,72.93,84.88,69,89,7.76,overcast clouds,0.0,0.0
170,Saskylakh,RU,71.92,114.08,63.32,58,100,17.45,overcast clouds,0.0,0.0
171,Cabo San Lucas,MX,22.89,-109.91,95.0,41,40,11.41,scattered clouds,0.0,0.0
172,Tasiilaq,GL,65.61,-37.64,37.4,86,0,9.17,clear sky,0.0,0.0
173,Puerto Escondido,MX,15.85,-97.07,84.2,66,90,5.82,overcast clouds,0.0,0.0
174,Beringovskiy,RU,63.05,179.32,51.19,81,100,9.42,overcast clouds,0.0,0.0
175,Matay,EG,28.42,30.78,72.77,73,0,13.69,clear sky,0.0,0.0
176,Yellowknife,CA,62.46,-114.35,71.6,49,75,3.36,broken clouds,0.0,0.0
177,Ambulu,ID,-8.35,113.61,77.74,78,100,1.52,overcast clouds,0.0,0.0
178,Tigzirt,DZ,36.89,4.12,76.46,62,100,11.63,overcast clouds,0.0,0.0
179,Luanda,AO,-8.84,13.23,68.0,88,26,3.36,scattered clouds,0.0,0.0
180,Analipsis,GR,35.32,25.57,79.0,53,0,12.75,clear sky,0.0,0.0
181,San Policarpo,PH,12.18,125.51,84.25,70,100,4.23,overcast clouds,0.0,0.0
182,Hokitika,NZ,-42.72,170.97,54.34,69,81,4.85,broken clouds,0.0,0.0
183,Oistins,BB,13.07,-59.53,82.4,78,20,14.99,few clouds,0.0,0.0
184,Ponta Do Sol,PT,32.67,-17.1,69.8,64,20,11.41,few clouds,0.0,0.0
